street,avec_hebergement,sum(nb_visiteurs_max)
rueduprofesseurdemons,0,15
parcdesexpositionsdebordeaux,0,0
crsalsaceetlorraine,0,63
quaistecroix,0,97
coursdelargonne,N,145
ruesaintfrancoisruedesmenuts,0,72
ruerepond,0,46
balgueriestuttenber,0,0
placeamlierabalon,1,532
ruemaucoudinat,N,232
ruespierretrebodetrobertschuman,0,96
ruegambetta,1,102
coursbalgueriestuttenbergruepoyenne,0,19
routeoscaretjeanauriac,0,28
alleeserr,0,237
bisalledetourny,0,6
bisruelecocq,0,529
ruesthlin,0,147
ilotboulevardgeorgespompidou,0,10
rueallamandiers,0,0
rueseiglireetruesainteanne,0,0
ruepeyronnet,0,147
marchdintrtnationalbrienne,0,249
etcoursdelamarne,0,69
coursbalgueriestuttenberg,N,113
rueesmangard,N,18
coursduraccordement,0,1366
placemartyrsdelaresistance,0,52
bisetboulevardduprsidentwilson,0,3
rueguillaumebrochon,N,0
ruebethmannetruetauzin,0,147
ruedelacroixdeseguey,1,0
ruedugrandbarail,1,26
stadiumvelodrome,0,0
ruebernardadour,0,111
bisruegaspardphilippe,0,30
boulevardalbert,0,12
ruesurson,0,22
ruegergeres,0,0
allesorleans,0,6
ruedupetitmiot,0,548
ruemontmjean,0,13
rueduha,N,67
bldbrandenburg,0,30
bisruesaintecatherine,0,31
rueduparlementstecatherine,0,243
ruerobertschumanplacedeleurope,0,65
etruedutauzin,0,72
ruedesaugustins,0,745
placeducolonelraynalruechateaudeau,0,436
bruemalbec,0,0
etquaideladouane,0,6
ruedesfours,N,19
bisrueleyteire,0,0
ruecanisetruelucienfaure,0,60
ruearmagnacgarestjean,0,0
placedelabourse,0,30
avenueduprsidentfrankilinroosevelt,0,8
ruedesfreresportman,0,64
ruereignier,0,95
coursmarechalgallieni,0,24
ilotbquaidequeyries,0,264
ruedunoviciat,0,240
ruedesaintgenes,0,1460
courslerouzicruebonnefin,0,199
ruecazemajor,0,117
ruedesaigon,0,19
ruekleberpassagemoreau,0,222
ruesaintjoseph,0,47
lotbzacsaintjeanbelcier,0,381
ruechristine,0,0
aterrassedufrontdumedoc,0,62
hmicycledesquinconces,0,1350
hangarlotbis,0,35
jardinpubliccoursdeverdun,0,10
ruedequeyries,0,892
ruefernandphilippart,0,251
placedeleurope,0,2331
etruemably,0,0
placedeleurope,N,39
placetournyetruefondaudege,0,0
quaiarmandlalanderuelucienfaure,0,584
rueroullet,0,6
alledespeupliers,0,3043
rueespritdeslois,N,40
rueferrre,0,6257
ruelavillefatin,0,0
ruefrdesourdisetavgeneraldelarminat,0,76
ruedutemple,1,124
ruedescarmes,0,0
coursgeorgeclemenceau,0,50
immeublemasterclubrueduprofdangeard,0,80
alleesdetourny,0,872
bdantoinegautier,0,75
bdpresidentwilsonavrepublique,0,12
boulevardalbertbrandenburg,0,85
ruefrantzdespagnet,0,385
quaidelasouys,0,2528
ruesicard,N,60
avenuedesquarantejournaux,0,104965
rueraymondbordier,0,4
ruedupassaintgeorges,0,1134
ruedefleurus,0,0
avenuedelaroquersidencedulacentrea,0,6
ruelucienfaure,N,1008
avenuejeangabrieldomergue,0,1146
allesdeboutaut,0,32
rueduprofesseurdargetzacalinordaquitaine,0,281
ruedelacroix,0,255
ruedesdouves,0,2500
avenuestamand,0,13
ruedujardinpublic,O,78
ruevaubancrsxavierarnozan,0,12
ruepenicaud,N,2
ruedetresses,0,63
coursdelasommeetruepantin,0,582
ruetoulouselautrecruevilleneuve,0,358
ruegeorgesmandel,1,10
ruekyrie,0,22
quaideschampszacgaronneeiffel,0,0
ruesaintremi,0,1280
placecharlesbruet,0,0
avenuedetourville,0,1023
rueblanche,0,3
rueantoinejourde,0,500
ruedelachassaigne,0,202
parvislouisarmand,0,0
ruepierreduhemetruewalterpoupot,0,170
rueduprofesseurlannelongue,N,10
avenuegeneralleclerc,0,1113
ruedebrach,0,100
biscourspasteur,0,4
ruegravelotte,0,0
avenuepoincar,0,40
alleestendhalruedeschais,0,237
etrueandredarbon,0,876
coursdelamartinique,N,115
ruesaintsernin,N,11
rueedouardlarroque,0,10
ruedupalaisdelombrire,N,99
ruemarengo,0,180
rueduprofesseurandrelavignolle,0,78
placedesquinconces,0,33112
ruejeanfleuret,0,719
coursportal,0,662
ruegambetta,0,225
ruedecauderes,0,10
alledechartres,0,24
avmaldelattredetassigny,0,25
rueduhautbrion,0,50
rueandrdarbon,0,900
sentemariegalante,0,0
ruebayssac,0,119
citebrulatour,0,19
placecamillejullian,0,1141
quaidebrazza,0,2213
ruepelleport,0,104
quaisrivegauche,0,0
bisquaideschartrons,0,19
coursclemenceau,0,0
esplanadecharlesdegaulle,0,49
boulevardgeorgespompidou,0,80
rueandrmaginot,0,99
ruedesayres,0,1299
rueeugnejacquet,0,192
etbisruedutemple,0,40
rueroquelaureetjosephdecarayonlatour,0,122
etruededijon,0,279
ruedetauzia,0,1410
avenuedugnralleclerc,0,77
alledetourny,0,197
ruegiacomomatteoti,0,182
bisruejennylepreux,0,13
placedesquinconces,N,1986
boulevardantoinegauthier,0,68
bisrueeliegintrac,0,40
bisruegeorgesbarres,0,0
alleestourny,0,2400
ruebobillotangleruecabanac,0,0
h,0,0
hangarlot,N,82
terrassedumai,0,0
ruesicard,0,200
cheminpomerol,0,40
coursdumarchaljuin,0,15346
ruedepineau,0,18
ruecdomercqetrueeleroy,0,323
rueduffourdubergier,0,324
ruejennylepreuxetecombes,0,19
biscrsjournuauber,0,310
angleruebernardadouretsolle,0,58
placedesbasques,0,0
ruehuguerie,0,517
placeamelierabaleon,N,10
avenuedepernon,0,499
capc,0,0
portautonome,0,0
promenadedesforges,0,119
ruejeanpierremariebouron,0,40
ruedudrfrappaz,0,0
ruedelabenauge,0,3208
avenuedemirande,0,15
ruedelabbedelepee,0,204
rueduloup,0,461
rueduprofesseurdangeard,0,50
rueduprofesseurdevaux,0,440
ruegabrielfrizeau,0,117
ruevieillard,0,42
avenueabadie,0,422
rueduquaibourgeois,0,100
zacbastidesilota,0,11
avenuemarchallattredetassigny,0,13
bassinaflotsnquaiouest,0,88
coursbarbey,0,1873
boulevardalfreddaneybassinaflotnquaiouest,0,19
ruefrantzschrader,0,14
ruegerbier,0,6
citedecaulet,0,20
bassinsflots,0,4000
ruedesetables,0,25
ruelartigue,0,20
etcoursaristidebriand,0,205
coursbalgueriestuttenbergruelucienfaure,0,68
parcdactivitdequeyries,0,0
ruemichelet,0,45
gymnasethiers,0,260
boulevardwilson,0,0
rueclaudebonnier,0,356
ruetoulouselautrec,0,23
ruelamothe,0,572
ruedelasau,0,29
ruedelamisricordeplacefrancisdeprssenc,0,325
ruedesfaures,N,77
placedescedres,0,54
ruebelleetoile,0,74
etimpassedestanneries,0,35
ruedesbahutiers,N,107
villaprimrose,0,0
ruedebegles,0,1801
avenuejeangabrieldomergue,N,3600
ruedesayresruepaulbert,0,730
iltedzacgaronneeiffel,0,606
etavenuedugnralleclerc,0,0
ruekleberetpassagebrmontier,0,47
bisruedecapeyron,0,8
ruedecreon,0,0
placegnralsarrail,0,0
ruedesgur,0,50
ruedesuffren,0,180
ruedesoissonsruechevalier,0,5
placepuypaulin,0,809
urenicolasbeaujonruecroixdeseguey,0,0
iltboulevardgeorgespompidou,0,9
placedelacomdie,0,251
gymnasepromis,0,0
rueduhautqueyron,N,10
russaintecatherine,0,0
ruejeansamazeuil,0,3500
rueduloup,N,12
placejeanjaurs,0,254
ruelefol,0,18
alleesdechartres,0,10
ruequintin,0,0
anglerueducruruedelaplateforme,0,0
terruebelleville,0,15
ruerobertlateulade,0,1041
ruebeaubadat,0,54
rueguiraude,0,75
angleruedelabechaderuequintin,0,360
placeamelierabaleon,0,1307
ruebouffard,0,465
rueduparlementstpierre,0,0
ruelacanau,0,0
bisavenuedeysines,0,0
coursdumarechaljuin,N,7212
ruenicot,0,233
ruedeleglisestaugustin,0,44
ruejeanrenauddandicolleplacerodesse,1,140
ruedelacanau,0,110
residencedulackbt,0,23
ruedumontdurville,0,729
ruedeladevise,N,48
courssaintlouis,0,9836
placeandrmeunier,0,754
ruepaulbroca,0,953
ruedelhermitage,0,0
rueduvelodrome,0,12
ruecamnadalmeida,0,11
ruemaurice,0,7
coursdumarechalgallieni,0,261
ruedelabenauge,N,35
avenuedugolf,0,60
etavenueemilecounord,0,0
alleedeserr,0,188
ruedesfaures,1,60
ruedesconilsplacepeyberland,N,0
rueramonet,0,171
ruegalin,0,3643
voienouvelleentrelaruedesqueyriesetle,0,5
avenuedelarpublique,0,776
quaiarmandlalande,0,2516
bisplacedeschartrons,0,75
quaideschamps,0,982
ruepelousededouet,0,22
ruebuchou,0,372
ruenoviciat,0,212
ruefranisdolebelle,0,0
etruepaulbroca,N,130
ruedestreuils,0,80
ruesgur,0,0
quaidebienneruedelorenoqueetruedelouisiane,0,545
bisruemably,0,45
ruekieser,0,0
coursdalsacelorraine,0,240
rueanatolefrance,0,24
ruethodoregardere,0,0
ruedelobservanceetruehugla,0,47
aavenuedelabarde,0,0
rueduprofesseurgeorgesjeanneney,0,528
coursportalcoursdelamartinique,0,18
ruedemarseille,0,744
coursmarcnouaux,0,33
ruecasteja,0,470
ruesaintsimon,0,24
rueeugeneleroy,1,27
placeduchampdemars,0,19
rueemileduploy,0,0
cesplanadecharlesdegaulle,0,1257
angledelaplacelatule,0,2
quaidusenegaletquaidebacalan,0,61
hallduparcdesexpositions,0,0
ruededoumerc,0,70
rueportedijeaux,0,4148
boulevardpresidentwilson,0,142
ruejeanlalanne,0,226
ruecastelnaudauros,N,41
rueguenard,0,0
ruejeanrenauddandicolle,0,15
coursdupresaintmaurhenribrunet,0,76
coursalascelorraine,0,0
ruecharlevoixdevillers,0,228
ruedelurbe,0,30
avecharlesdegaulle,0,60
ruedelacourdesaides,0,164
avenuedesquarantejournaux,N,70
ruejeanne,0,0
rueleytere,0,32
quaidequeyries,N,6090
ruecolette,0,47
quaidebrienneruedelouisianeetruedelornoque,0,860
ruedeshollandaisetcoursduquebec,0,100
ruevilledieu,0,45
arueclaudeboucher,1,1458
ruebertranddegoth,0,0
ruedelaportedijeaux,0,516
rueduhamel,0,709
cclespassagesmeriadeck,0,0
ruedeladous,0,80
quaidesmarqueshangar,0,138
gymnasealicemilliat,0,0
quaibrazza,0,0
quaidesqueyriesrueraymondlavigne,0,150
impassefontainedeguillot,0,0
ruedecandale,0,296
ruekyri,0,0
bisruedelatourdegassies,0,2
ruejulesferry,0,9009
ruelaporte,0,90
ruemondenard,N,487
biscoursdumedoc,0,120
ruepauldoumerjeromemauvigney,0,225
ruepoitevin,0,76
coursanatolefrance,0,0
ruecarlevernet,0,792
rueduclotre,0,124
placesaintprojet,0,340
ruebougainvillelotzialfreddaney,N,60
placemenard,0,15
boulevardjoliotcurie,0,515
ruedupeugue,0,0
aruedupalaisgallien,0,156
ruedelaplateforme,1,0
bisrueespritdeslois,0,8
ruemaitrejean,0,1001
ruebouquire,0,215
ruemalbec,0,1860
courshenribrunet,0,0
bruederivire,0,0
ruecamillestsaens,0,80
rueterrasson,0,10
impassedudocteurjeanvincent,0,583
routedesaget,0,76
bordeauxplazaiiplaceravezie,0,78
alleelistrac,0,80
bruedudocteuralbertbarraud,0,10
placefernandlafargue,0,251
ruegaspardphilippe,0,31
boulevardalfreddaney,0,7383
ruemably,0,888
bisrueeugenejacquet,0,10
placeferdinandbuisson,0,463
ruechanoinealacaze,0,158
ruesaintrmi,0,510
rueemilehenriot,1,169
avenuevercingetorix,N,30
bisruearnaudmiqueu,0,45
ruededeyme,0,60
ruefernandaudeguil,0,40
ruecancera,0,0
ruejeanjacquesrousseau,0,198
ruedujonc,0,478
ruelagraveyre,0,6
ruederivire,0,113
rueabbdelpe,0,0
avenuedelajallere,0,379
rueornano,0,0
impassetraversanne,0,35
ruederiviere,0,20
ruepineau,0,192
quaidelamonnaie,0,460
tercoursxavierarnozan,0,0
rueeugeneleroy,0,114
ruegeorgesbonnac,1,517
ruejeandescas,0,263
ruedelbosetrueouagadougou,0,609
impassenol,0,8
placedelerme,0,250
avenuelabarde,0,20
rueserpolet,0,0
ruedecanolle,0,0
bisrueborie,0,12
ruedutempspass,0,38
bisruelafauriedemonbadon,0,4
ruecondorcet,0,1660
ruedudocteuralbertbarraud,0,502
rueracine,0,6
ruesduchateaudeaustsernin,0,3653
ruelouisgeandreau,0,0
ruelaplacette,0,196
airerafaelpadilla,0,0
coursdumarchaljuin,N,7212
ruebigot,0,77
quaidemonnaie,0,40
avenuehenrydunant,0,149
acoursalsaceetlorraine,0,60
coursbalguerie,0,0
placedescapucins,0,9268
coursclmenceau,0,59
ruepaullouislande,0,482
hallparcdesexpositions,0,3000
citmondiale,0,0
espacevertruepierretrbod,0,0
ruelabottiere,0,80
zacbastidenielilob,0,0
ruemarcsangnier,0,106
ruecambon,0,90
